Dyad,FocalID,IndividualID,Father,Mat_Bro,Pat_Bro,Family,Focal_age,ID2_age,Age_Diff,Total_Scans,Total_Hours,Total_Minutes,Total_Follows,tally_Within1,tally_One_Five,Within_Five,Five_Twenty,AlloGr,MutlGr,RecvGr,Groom,Association
Peterson_BillyBragg,Peterson,BillyBragg,NoDad,NoBro,NoBro,Unrelated,19.68,9.67,-10.01,289,40.94,2456.4,43,0,0,0,6,0,0,0,0,6
Porkpie_BillyBragg,Porkpie,BillyBragg,NoDad,NoBro,NoBro,Unrelated,20.68,9.67,-11.01,300,43.38,2602.8,45,0,0,0,1,0,0,0,0,2
Wayne_BillyBragg,Wayne,BillyBragg,NoDad,NoBro,NoBro,Unrelated,18.68,9.67,-9.01,300,43.77,2626.2,45,0,1,1,7,0,0,0,0,20
Wes_BillyBragg,Wes,BillyBragg,NoDad,NoBro,NoBro,Unrelated,17.26,9.67,-7.59,316,43.43,2605.8,46,0,0,0,8,0,0,0,0,22
Wilson_BillyBragg,Wilson,BillyBragg,NoDad,NoBro,NoBro,Unrelated,14.76,9.67,-5.09,321,46.98,2818.8,48,0,0,0,0,0,0,0,0,1
Abrams_Jarman,Abrams,Jarman,NoDad,MatBro,NoBro,MatBro,14.76,9.67,-5.09,297,42.85,2571,45,0,0,0,3,0,0,0,0,14
Barron_Jarman,Barron,Jarman,NoDad,NoBro,NoBro,Unrelated,13.51,9.67,-3.84,283,41.91,2514.6,45,0,0,0,3,0,0,0,0,11
Benny_Jarman,Benny,Jarman,NoDad,NoBro,NoBro,Unrelated,14.26,9.67,-4.59,314,43.22,2593.2,45,0,1,1,1,0,0,0.25,0.25,4
Booker_Jarman,Booker,Jarman,NoDad,NoBro,NoBro,Unrelated,12.39,9.67,-2.72,305,43.99,2639.4,46,0,0,0,0,0,0,0,0,5
Buckner_Jarman,Buckner,Jarman,NoDad,NoBro,NoBro,Unrelated,14.68,9.67,-5.01,298,41.71,2502.6,45,0,0,0,0,0,0,0,0,4
Django_Jarman,Django,Jarman,NoDad,NoBro,NoBro,Unrelated,17.68,9.67,-8.01,309,44.26,2655.6,46,0,0,0,2,0,0,0,0,9
Erroll_Jarman,Erroll,Jarman,NoDad,NoBro,NoBro,Unrelated,12.67,9.67,-3,314,46.36,2781.6,48,0,0,0,0,0,0,0,0,5
Evans_Jarman,Evans,Jarman,NoDad,NoBro,NoBro,Unrelated,18.68,9.67,-9.01,313,45.11,2706.6,47,0,0,0,0,0,0,0,0,2
Haden_Jarman,Haden,Jarman,NoDad,NoBro,NoBro,Unrelated,15.68,9.67,-6.01,313,43.21,2592.6,46,0,0,0,0,0,0,0,0,9
Hawkins_Jarman,Hawkins,Jarman,NoDad,NoBro,NoBro,Unrelated,19.68,9.67,-10.01,248,35.25,2115,38,0,0,0,0,0,0,0,0,2
Hicks_Jarman,Hicks,Jarman,NoDad,NoBro,NoBro,Unrelated,17.68,9.67,-8.01,325,47.07,2824.2,50,0,0,0,1,0,0,0,0,6
Lovano_Jarman,Lovano,Jarman,NoDad,NoBro,NoBro,Unrelated,14.93,9.67,-5.26,310,44.5,2670,46,0,0,0,5,0,0,0,0,11
